state,district,financial_year,metric,value,unit,source_url,notes
Punjab,ALL,2018-19_to_2021-22_cum,crm_machines_total,90422,machines,https://ppcb.punjab.gov.in/media/documents/FINAL_Action_Plan_Stubble_Burning_29May2022.pdf,Sum of 22 district grand totals from PPCB Action Plan 2022 p.27; equals published state baseline 90422 on p.18 (internal cross-check).
Haryana,ALL,2018-19,crm_machines_target_total,5563,machines,https://web.archive.org/web/20180516224922id_/http://agriharyana.gov.in/assets/images/whatsnew/Districtwise_Targets_2018-19.pdf,Sum of 21 districts; individual-farmer TARGETS (in-situ CRM 2018-19).
Haryana,ALL,2018-19,crm_subsidy_target_total,3999.9,INR_lakh,https://web.archive.org/web/20180516224922id_/http://agriharyana.gov.in/assets/images/whatsnew/Districtwise_Targets_2018-19.pdf,Sum of 21 districts subsidy target (=Rs 40 crore).
Haryana,ALL,2017-18,crm_chc_established,420,CHCs,https://web.archive.org/web/2018id_/http://agriharyana.gov.in/assets/images/whatsnew/Districtwise_targets_for_Establishment_of_Custom_Hiring_Centres_2018-19.pdf,Sum of 18 districts; CHCs established during 2017-18 (pre-CRM baseline).
Haryana,ALL,2018-19,crm_chc_target,900,CHCs,https://web.archive.org/web/2018id_/http://agriharyana.gov.in/assets/images/whatsnew/Districtwise_targets_for_Establishment_of_Custom_Hiring_Centres_2018-19.pdf,Sum of 18 districts; CHCs proposed for 2018-19.
Punjab,ALL,2022-23,crm_machines_target_annual,25000,machines,https://ppcb.punjab.gov.in/media/documents/FINAL_Action_Plan_Stubble_Burning_29May2022.pdf,PPCB Action Plan 2022 p.18 'Future targets' for new CRM machines under subsidy (state total). Outside 2018-22 window; validation/context.
Punjab,ALL,2023-24,crm_machines_target_annual,30000,machines,https://ppcb.punjab.gov.in/media/documents/FINAL_Action_Plan_Stubble_Burning_29May2022.pdf,PPCB Action Plan 2022 p.18 'Future targets' for new CRM machines under subsidy (state total). Outside 2018-22 window; validation/context.
Punjab,ALL,2024-25,crm_machines_target_annual,30000,machines,https://ppcb.punjab.gov.in/media/documents/FINAL_Action_Plan_Stubble_Burning_29May2022.pdf,PPCB Action Plan 2022 p.18 'Future targets' for new CRM machines under subsidy (state total). Outside 2018-22 window; validation/context.
