spec,beta,se,p,N
DiD (no controls),0.04380308779894631,0.07818330587889319,0.575573311002044,516
Punjab only,0.21156790956062316,0.0677876758057971,0.0020328816972330355,264
Drop 2020-21 (COVID/protests),0.0242540465946235,0.08115514129639323,0.765211339200006,430
Outcome = log(1+FRP sum),0.09922443081782438,0.08548551886016414,0.246358014531725,516
Binary dose (above own-state mean),0.053307580184583515,0.1574410699890195,0.7350746479808445,516
Dose = share of state machines,1.3965179199905116,3.1218527493285095,0.6548424005687901,516
