state,district,year,iso_week,tmax_mean,tmin_mean,precip_sum,rain_days,dry_days,wind_max_mean,wind_calm_days,et0_sum,n_days
Haryana,Ambala,2015,48,25.357142857142858,13.214285714285714,1.7,0,4,12.9,2,19.77,7
Haryana,Ambala,2015,49,25.9,15.5,0.0,0,1,8.0,1,2.34,1
Haryana,Ambala,2016,35,30.775,23.85,4.7,1,3,14.925,1,16.93,4
Haryana,Ambala,2016,36,31.985714285714288,24.557142857142857,0.6000000000000001,0,5,16.0,0,32.03,7
Haryana,Ambala,2016,37,32.4,23.099999999999998,0.3,0,6,11.557142857142859,2,31.29,7
Haryana,Ambala,2016,38,31.557142857142857,23.614285714285717,9.100000000000001,2,3,12.37142857142857,3,27.54,7
Haryana,Ambala,2016,39,31.985714285714288,23.82857142857143,2.1,1,5,10.357142857142858,2,26.95,7
Haryana,Ambala,2016,40,32.471428571428575,22.714285714285715,3.3000000000000003,1,4,9.842857142857143,4,28.05,7
Haryana,Ambala,2016,41,32.957142857142856,18.24285714285714,0.0,0,7,16.62857142857143,0,36.65,7
Haryana,Ambala,2016,42,32.34285714285714,18.585714285714285,0.0,0,7,15.757142857142858,1,35.4,7
Haryana,Ambala,2016,43,30.642857142857142,16.47142857142857,0.0,0,7,14.957142857142857,1,31.74,7
Haryana,Ambala,2016,44,28.942857142857143,15.785714285714286,0.0,0,7,10.614285714285714,4,25.009999999999998,7
Haryana,Ambala,2016,45,28.157142857142855,14.142857142857142,0.0,0,7,12.914285714285715,3,26.84,7
Haryana,Ambala,2016,46,26.7,12.542857142857143,0.0,0,7,13.571428571428571,2,24.41,7
Haryana,Ambala,2016,47,28.228571428571428,14.642857142857142,0.0,0,7,19.957142857142856,0,31.22,7
Haryana,Ambala,2016,48,25.566666666666666,12.433333333333332,0.0,0,3,12.433333333333332,1,8.85,3
Haryana,Ambala,2017,35,29.066666666666666,23.666666666666668,92.0,3,0,12.766666666666666,0,8.16,3
Haryana,Ambala,2017,36,31.571428571428573,23.75714285714286,12.7,4,2,14.0,1,29.81,7
Haryana,Ambala,2017,37,32.22857142857143,23.414285714285715,0.0,0,7,16.114285714285714,0,32.09,7
Haryana,Ambala,2017,38,31.1,23.414285714285715,117.7,3,3,13.771428571428572,0,25.91,7
Haryana,Ambala,2017,39,32.285714285714285,22.457142857142856,0.9,0,5,15.285714285714286,0,32.13,7
Haryana,Ambala,2017,40,32.84285714285714,21.1,0.0,0,7,13.928571428571429,1,32.629999999999995,7
Haryana,Ambala,2017,41,32.32857142857143,19.914285714285715,0.0,0,7,11.057142857142859,4,29.73,7
Haryana,Ambala,2017,42,32.17142857142857,17.857142857142858,0.0,0,7,13.1,1,30.29,7
Haryana,Ambala,2017,43,29.357142857142858,16.057142857142857,0.0,0,7,12.285714285714286,2,27.23,7
Haryana,Ambala,2017,44,27.67142857142857,15.885714285714286,0.0,0,7,10.5,4,21.06,7
Haryana,Ambala,2017,45,26.87142857142857,14.857142857142858,0.0,0,7,9.771428571428572,6,19.02,7
Haryana,Ambala,2017,46,24.228571428571428,13.385714285714286,2.0,1,5,12.814285714285715,2,17.89,7
Haryana,Ambala,2017,47,23.114285714285717,10.700000000000001,0.0,0,7,16.0,0,20.85,7
Haryana,Ambala,2017,48,23.6,10.3,0.0,0,4,15.05,1,11.09,4
Haryana,Ambala,2018,35,29.75,25.4,14.0,2,0,11.35,1,4.7,2
Haryana,Ambala,2018,36,30.942857142857143,24.885714285714283,46.5,7,0,11.642857142857142,3,22.14,7
Haryana,Ambala,2018,37,31.057142857142857,23.97142857142857,12.5,4,2,14.557142857142859,1,29.470000000000002,7
Haryana,Ambala,2018,38,30.042857142857144,22.24285714285714,106.1,3,4,19.785714285714285,0,27.259999999999998,7
Haryana,Ambala,2018,39,29.785714285714285,21.657142857142855,116.60000000000001,3,4,16.057142857142857,1,25.490000000000002,7
Haryana,Ambala,2018,40,31.285714285714285,19.542857142857144,0.0,0,7,13.942857142857141,0,31.47,7
Haryana,Ambala,2018,41,29.085714285714285,17.82857142857143,12.3,2,4,15.642857142857142,2,27.259999999999998,7
Haryana,Ambala,2018,42,29.32857142857143,16.014285714285712,0.0,0,7,11.571428571428571,2,26.67,7
Haryana,Ambala,2018,43,28.24285714285714,13.614285714285714,0.0,0,7,13.657142857142857,0,26.419999999999998,7
Haryana,Ambala,2018,44,26.74285714285714,15.628571428571428,17.4,2,5,14.571428571428571,3,21.22,7
Haryana,Ambala,2018,45,25.285714285714285,13.12857142857143,0.0,0,7,12.87142857142857,3,21.33,7
Haryana,Ambala,2018,46,25.028571428571432,12.914285714285715,0.2,0,6,15.114285714285714,1,20.68,7
Haryana,Ambala,2018,47,24.857142857142858,12.842857142857143,0.1,0,7,16.742857142857144,1,21.7,7
Haryana,Ambala,2018,48,24.259999999999998,12.819999999999999,0.0,0,5,12.680000000000001,1,11.6,5
Haryana,Bhiwani,2012,35,33.3,25.9,6.7,2,0,10.25,1,8.120000000000001,2
Haryana,Bhiwani,2012,36,30.485714285714284,25.37142857142857,21.1,4,2,20.52857142857143,1,25.04,7
Haryana,Bhiwani,2012,37,32.114285714285714,25.342857142857145,29.6,6,0,12.214285714285714,2,24.11,7
Haryana,Bhiwani,2012,38,31.714285714285715,22.52857142857143,3.4,1,4,10.471428571428572,3,28.95,7
Haryana,Bhiwani,2012,39,33.08571428571429,20.75714285714286,0.0,0,7,11.985714285714286,2,34.45,7
Haryana,Bhiwani,2012,40,34.642857142857146,18.74285714285714,0.0,0,7,10.714285714285714,4,35.13,7
Haryana,Bhiwani,2012,41,33.98571428571428,17.285714285714285,0.0,0,7,12.6,1,35.75,7
Haryana,Bhiwani,2012,42,31.614285714285717,18.52857142857143,1.2999999999999998,0,5,9.942857142857141,4,29.31,7
Haryana,Bhiwani,2012,43,28.557142857142857,15.171428571428573,6.3,1,6,11.014285714285714,3,26.72,7
Haryana,Bhiwani,2012,44,29.042857142857144,14.842857142857143,0.0,0,7,8.485714285714286,7,25.41,7
Haryana,Bhiwani,2012,45,28.657142857142855,13.285714285714286,0.0,0,7,9.842857142857143,5,24.65,7
Haryana,Bhiwani,2012,46,26.728571428571428,12.785714285714286,0.0,0,7,10.057142857142859,3,22.68,7
Haryana,Bhiwani,2012,47,25.62857142857143,10.6,0.0,0,7,10.757142857142856,2,22.65,7
Haryana,Bhiwani,2012,48,24.1,9.66,1.7,1,4,11.3,1,14.69,5
Haryana,Bhiwani,2013,35,34.9,26.9,0.0,0,1,14.9,0,5.32,1
Haryana,Bhiwani,2013,36,35.44285714285714,26.5,0.0,0,7,18.557142857142857,0,43.41,7
Haryana,Bhiwani,2013,37,36.31428571428571,25.414285714285715,0.5,0,5,12.4,2,37.32,7
Haryana,Bhiwani,2013,38,34.614285714285714,23.62857142857143,46.6,4,3,16.0,0,32.0,7
Haryana,Bhiwani,2013,39,32.05714285714286,25.014285714285712,28.9,7,0,11.557142857142859,2,26.05,7
Haryana,Bhiwani,2013,40,30.67142857142857,23.24285714285714,5.6,2,3,12.6,2,25.5,7
Haryana,Bhiwani,2013,41,31.12857142857143,23.32857142857143,10.2,3,4,11.742857142857144,1,25.72,7
Haryana,Bhiwani,2013,42,32.42857142857143,20.314285714285713,0.8,0,5,9.785714285714286,4,29.32,7
Haryana,Bhiwani,2013,43,31.457142857142856,17.67142857142857,0.0,0,7,10.185714285714285,3,29.56,7
Haryana,Bhiwani,2013,44,30.5,16.3,0.2,0,6,11.6,1,29.46,7
Haryana,Bhiwani,2013,45,26.24285714285714,14.057142857142859,5.0,1,6,10.557142857142859,3,23.25,7
Haryana,Bhiwani,2013,46,25.12857142857143,10.285714285714286,0.0,0,7,10.685714285714285,2,24.55,7
Haryana,Bhiwani,2013,47,26.87142857142857,10.771428571428572,0.0,0,7,11.6,1,24.14,7
Haryana,Bhiwani,2013,48,27.400000000000002,12.950000000000001,0.0,0,6,14.233333333333334,0,21.13,6
Haryana,Bhiwani,2014,36,31.785714285714285,25.085714285714285,34.8,6,0,19.657142857142855,2,24.84,7
Haryana,Bhiwani,2014,37,32.457142857142856,24.857142857142858,26.1,4,1,10.485714285714286,4,27.66,7
Haryana,Bhiwani,2014,38,35.3,24.842857142857145,0.2,0,6,15.200000000000001,0,39.11,7
Haryana,Bhiwani,2014,39,36.42857142857143,24.728571428571428,0.0,0,7,19.571428571428573,0,46.73,7
Haryana,Bhiwani,2014,40,37.58571428571429,23.557142857142857,0.0,0,7,13.842857142857143,1,41.72,7
Haryana,Bhiwani,2014,41,35.628571428571426,22.528571428571432,0.3,0,6,11.571428571428571,3,37.24,7
Haryana,Bhiwani,2014,42,30.75714285714286,17.8,0.9,0,6,10.700000000000001,4,29.94,7
Haryana,Bhiwani,2014,43,32.642857142857146,19.614285714285717,1.5,1,6,10.585714285714285,2,29.87,7
Haryana,Bhiwani,2014,44,31.057142857142857,17.47142857142857,0.30000000000000004,0,6,11.0,4,28.8,7
Haryana,Bhiwani,2014,45,30.842857142857145,17.257142857142856,0.0,0,7,12.342857142857143,1,28.6,7
Haryana,Bhiwani,2014,46,27.37142857142857,11.142857142857142,0.0,0,7,11.957142857142857,0,28.83,7
Haryana,Bhiwani,2014,47,27.114285714285717,10.6,0.0,0,7,10.814285714285715,0,25.31,7
Haryana,Bhiwani,2014,48,27.442857142857143,11.5,0.0,0,7,10.657142857142857,2,23.73,7
Haryana,Bhiwani,2015,36,36.81666666666667,25.916666666666668,0.0,0,6,17.3,0,41.62,6
Haryana,Bhiwani,2015,37,37.67142857142857,24.37142857142857,0.0,0,7,14.2,0,44.5,7
Haryana,Bhiwani,2015,38,36.31428571428571,25.442857142857143,32.8,3,4,13.685714285714285,0,35.46,7
Haryana,Bhiwani,2015,39,32.51428571428572,23.885714285714283,19.900000000000002,1,5,15.1,0,32.19,7
Haryana,Bhiwani,2015,40,35.357142857142854,19.771428571428572,0.0,0,7,12.685714285714285,1,37.41,7
Haryana,Bhiwani,2015,41,37.0,22.157142857142855,0.0,0,7,17.185714285714287,0,43.3,7
Haryana,Bhiwani,2015,42,35.91428571428572,22.485714285714288,0.1,0,7,13.257142857142856,0,35.44,7
