state,district,year,iso_week,dm_kg,dm_tonnes
Haryana,Ambala,2012,40,743327.1593655815,743.3271593655815
Haryana,Ambala,2012,41,2320947.3058329015,2320.9473058329013
Haryana,Ambala,2012,42,4552921.6247071335,4552.921624707134
Haryana,Ambala,2012,43,5796382.312401188,5796.382312401188
Haryana,Ambala,2012,44,7896431.1342685595,7896.43113426856
Haryana,Ambala,2012,45,5010231.857744021,5010.231857744021
Haryana,Ambala,2012,46,1097877.8081677814,1097.8778081677815
Haryana,Ambala,2012,47,268529.78129830916,268.52978129830916
Haryana,Ambala,2012,48,53926.6373274984,53.9266373274984
Haryana,Ambala,2013,40,264734.308097505,264.734308097505
Haryana,Ambala,2013,41,697860.1963539119,697.8601963539119
Haryana,Ambala,2013,42,4395136.752489673,4395.136752489673
Haryana,Ambala,2013,43,10682167.075483747,10682.167075483747
Haryana,Ambala,2013,44,18014497.24822326,18014.49724822326
Haryana,Ambala,2013,45,11288224.747191284,11288.224747191283
Haryana,Ambala,2013,46,1562243.961507539,1562.243961507539
Haryana,Ambala,2013,47,282831.88667583,282.83188667583
Haryana,Ambala,2013,48,46820.20621141391,46.82020621141391
Haryana,Ambala,2014,40,1402911.6233275533,1402.9116233275533
Haryana,Ambala,2014,41,3341821.1310782484,3341.8211310782485
Haryana,Ambala,2014,42,2603902.544091162,2603.902544091162
Haryana,Ambala,2014,43,5910938.028391739,5910.938028391739
Haryana,Ambala,2014,44,12509863.785685332,12509.863785685333
Haryana,Ambala,2014,45,10252351.118340183,10252.351118340182
Haryana,Ambala,2014,46,2585817.376213912,2585.8173762139118
Haryana,Ambala,2014,47,514134.42163802,514.1344216380201
Haryana,Ambala,2014,48,105902.23568863719,105.90223568863719
Haryana,Ambala,2015,40,357678.1917310158,357.67819173101583
Haryana,Ambala,2015,41,1675442.0818491671,1675.4420818491672
Haryana,Ambala,2015,42,3121028.5985649955,3121.0285985649953
Haryana,Ambala,2015,43,14605812.731955208,14605.812731955208
Haryana,Ambala,2015,44,7619654.658514822,7619.654658514822
Haryana,Ambala,2015,45,8801354.868075892,8801.354868075892
Haryana,Ambala,2015,46,1946076.777029497,1946.0767770294972
Haryana,Ambala,2015,47,199241.05830004578,199.24105830004578
Haryana,Ambala,2015,48,74877.11947500269,74.87711947500269
Haryana,Ambala,2015,49,4009.8483577437496,4.00984835774375
Haryana,Ambala,2016,39,213127.04381517664,213.12704381517665
Haryana,Ambala,2016,40,1284499.8987462223,1284.4998987462222
Haryana,Ambala,2016,41,6978514.040229508,6978.514040229507
Haryana,Ambala,2016,42,9127668.761123084,9127.668761123083
Haryana,Ambala,2016,43,6949616.110455168,6949.616110455168
Haryana,Ambala,2016,44,4532894.869391659,4532.894869391659
Haryana,Ambala,2016,45,1600239.5939999563,1600.2395939999562
Haryana,Ambala,2016,46,663534.104317732,663.534104317732
Haryana,Ambala,2016,47,296776.4743993279,296.77647439932787
Haryana,Ambala,2016,48,14764.719582083408,14.764719582083409
Haryana,Ambala,2017,39,29210.451498507013,29.210451498507013
Haryana,Ambala,2017,40,889325.9780218422,889.3259780218422
Haryana,Ambala,2017,41,3096728.2674569357,3096.7282674569356
Haryana,Ambala,2017,42,11521416.472241107,11521.416472241108
Haryana,Ambala,2017,43,11567859.397030726,11567.859397030727
Haryana,Ambala,2017,44,4639461.695782411,4639.461695782411
Haryana,Ambala,2017,45,1662996.6924479057,1662.9966924479056
Haryana,Ambala,2017,46,741028.6254670027,741.0286254670027
Haryana,Ambala,2017,47,399785.1826825795,399.7851826825795
Haryana,Ambala,2017,48,105982.08208827378,105.98208208827377
Haryana,Ambala,2018,40,273223.4073387077,273.2234073387077
Haryana,Ambala,2018,41,1214144.7314127358,1214.1447314127358
Haryana,Ambala,2018,42,5759278.271907408,5759.2782719074075
Haryana,Ambala,2018,43,5915215.213396532,5915.215213396533
Haryana,Ambala,2018,44,3285803.7038168916,3285.803703816892
Haryana,Ambala,2018,45,1361275.4326559487,1361.2754326559486
Haryana,Ambala,2018,46,340583.6574756039,340.5836574756039
Haryana,Ambala,2018,47,110090.22870795512,110.09022870795512
Haryana,Ambala,2018,48,39210.62813022023,39.210628130220236
Haryana,Bhiwani,2012,40,15.262990772044578,0.015262990772044578
Haryana,Bhiwani,2012,41,24.67735258706366,0.024677352587063658
Haryana,Bhiwani,2012,42,31.26573425644092,0.03126573425644092
Haryana,Bhiwani,2012,43,30.19873166047863,0.03019873166047863
Haryana,Bhiwani,2012,44,153.43558485742983,0.15343558485742984
Haryana,Bhiwani,2012,45,50815.73665780539,50.81573665780539
Haryana,Bhiwani,2012,46,172035.1873639909,172.0351873639909
Haryana,Bhiwani,2012,47,24296.97109882683,24.29697109882683
Haryana,Bhiwani,2012,48,27067.61994873153,27.067619948731533
Haryana,Bhiwani,2013,40,3005.8770518588194,3.0058770518588194
Haryana,Bhiwani,2013,41,7239.6539925987545,7.239653992598755
Haryana,Bhiwani,2013,42,13155.453188708292,13.155453188708291
Haryana,Bhiwani,2013,43,38720.07412558773,38.72007412558773
Haryana,Bhiwani,2013,44,201013.48286917826,201.01348286917826
Haryana,Bhiwani,2013,45,454164.5930960983,454.16459309609826
Haryana,Bhiwani,2013,46,588715.2859685934,588.7152859685934
Haryana,Bhiwani,2013,47,575739.5669257421,575.7395669257421
Haryana,Bhiwani,2013,48,323829.361706778,323.829361706778
Haryana,Bhiwani,2014,40,1.5216912218620443e-05,1.5216912218620443e-08
Haryana,Bhiwani,2014,41,0.0010666425301203144,1.0666425301203145e-06
Haryana,Bhiwani,2014,42,0.013752734386683335,1.3752734386683335e-05
Haryana,Bhiwani,2014,43,0.5040961714925016,0.0005040961714925016
Haryana,Bhiwani,2014,44,6.4581940508291975,0.006458194050829197
Haryana,Bhiwani,2014,45,69.35489392817261,0.06935489392817261
Haryana,Bhiwani,2014,46,24645.960498649874,24.645960498649874
Haryana,Bhiwani,2014,47,5159.939881731487,5.1599398817314865
Haryana,Bhiwani,2014,48,2323458.319751583,2323.458319751583
Haryana,Bhiwani,2015,40,9591.351737305533,9.591351737305533
Haryana,Bhiwani,2015,41,48145.03402996351,48.14503402996351
Haryana,Bhiwani,2015,42,59254.671438872814,59.25467143887281
Haryana,Bhiwani,2015,43,126446.50979798604,126.44650979798604
Haryana,Bhiwani,2015,44,152722.4691275797,152.7224691275797
Haryana,Bhiwani,2015,45,202561.26155716705,202.56126155716706
Haryana,Bhiwani,2015,46,122761.49038566778,122.76149038566778
Haryana,Bhiwani,2015,47,64179.12181528539,64.17912181528538
Haryana,Bhiwani,2015,48,41201.87586784188,41.201875867841885
Haryana,Bhiwani,2015,49,2324.7515476188314,2.3247515476188316
Haryana,Bhiwani,2016,39,728.050051592972,0.728050051592972
Haryana,Bhiwani,2016,40,2914.793246111486,2.914793246111486
Haryana,Bhiwani,2016,41,10731.512628696319,10.731512628696319
Haryana,Bhiwani,2016,42,43069.79721497216,43.06979721497216
Haryana,Bhiwani,2016,43,314409.5112979354,314.4095112979354
Haryana,Bhiwani,2016,44,1078146.895465193,1078.146895465193
Haryana,Bhiwani,2016,45,10994209.623171097,10994.209623171097
Haryana,Bhiwani,2016,46,4231155.8778188,4231.155877818799
Haryana,Bhiwani,2016,47,289494.2356537399,289.4942356537399
Haryana,Bhiwani,2016,48,8559.088718354706,8.559088718354706
Haryana,Bhiwani,2017,39,33.119901878220986,0.03311990187822099
Haryana,Bhiwani,2017,40,1971.8865376643573,1.9718865376643573
Haryana,Bhiwani,2017,41,8154.054198730315,8.154054198730314
Haryana,Bhiwani,2017,42,38548.82457104426,38.54882457104426
Haryana,Bhiwani,2017,43,82651.7896590321,82.6517896590321
Haryana,Bhiwani,2017,44,159199.62143466616,159.19962143466617
Haryana,Bhiwani,2017,45,4808375.496322556,4808.3754963225565
Haryana,Bhiwani,2017,46,266959.5213804143,266.9595213804143
Haryana,Bhiwani,2017,47,520157.0690069277,520.1570690069277
