state,district,year,dm_kg,dm_tonnes
Haryana,Panchkula,2012,1471567.2923040574,1471.5672923040574
Haryana,Panchkula,2013,2095731.639524676,2095.7316395246758
Haryana,Panchkula,2014,2359645.5645779707,2359.6455645779706
Haryana,Panchkula,2015,1833047.8186356002,1833.0478186356002
Haryana,Panchkula,2016,2145061.699019313,2145.061699019313
Haryana,Panchkula,2017,1632385.3438911615,1632.3853438911615
Haryana,Panchkula,2018,1491175.0424411618,1491.1750424411618
Haryana,Panipat,2012,24967610.07124088,24967.61007124088
Haryana,Panipat,2013,5944303.713695083,5944.3037136950825
Haryana,Panipat,2014,1692487.2844010582,1692.4872844010583
Haryana,Panipat,2015,7098650.711097914,7098.650711097914
Haryana,Panipat,2016,7032453.930041962,7032.453930041962
Haryana,Panipat,2017,5845252.949217356,5845.252949217356
Haryana,Panipat,2018,1836268.9183059891,1836.268918305989
Haryana,Rewari,2012,40147.87338832095,40.14787338832095
Haryana,Rewari,2013,89788.07361120264,89.78807361120263
Haryana,Rewari,2014,124261.9424620598,124.2619424620598
Haryana,Rewari,2015,0.0,0.0
Haryana,Rewari,2016,20025255.938562743,20025.255938562743
Haryana,Rewari,2017,562708.7643974477,562.7087643974477
Haryana,Rewari,2018,57120.49677641478,57.12049677641478
Haryana,Rohtak,2012,130150.45118233302,130.15045118233303
Haryana,Rohtak,2013,3766940.808476859,3766.940808476859
Haryana,Rohtak,2014,452032.3141467576,452.0323141467576
Haryana,Rohtak,2015,203510.94146664688,203.51094146664687
Haryana,Rohtak,2016,1036321.3423491677,1036.3213423491677
Haryana,Rohtak,2017,6375108.861404266,6375.1088614042665
Haryana,Rohtak,2018,1656044.2688737614,1656.0442688737614
Haryana,Sirsa,2012,196514686.62472546,196514.68662472547
Haryana,Sirsa,2013,374163510.7716107,374163.51077161066
Haryana,Sirsa,2014,287252056.02574456,287252.05602574453
Haryana,Sirsa,2015,413902639.9000753,413902.63990007533
Haryana,Sirsa,2016,501952512.8370751,501952.5128370751
Haryana,Sirsa,2017,397798881.5473284,397798.88154732843
Haryana,Sirsa,2018,351055572.66530424,351055.57266530424
Haryana,Sonipat,2012,1367062.588768667,1367.0625887686672
Haryana,Sonipat,2013,3351274.7657342134,3351.2747657342134
Haryana,Sonipat,2014,956756.9567552715,956.7569567552715
Haryana,Sonipat,2015,2069447.5385730076,2069.4475385730075
Haryana,Sonipat,2016,2793169.466649808,2793.169466649808
Haryana,Sonipat,2017,5018579.113227129,5018.579113227129
Haryana,Sonipat,2018,1504094.9836404389,1504.0949836404388
Haryana,Yamunanagar,2012,4967842.122824809,4967.842122824809
Haryana,Yamunanagar,2013,28734612.365459863,28734.612365459863
Haryana,Yamunanagar,2014,17154023.856646404,17154.023856646403
Haryana,Yamunanagar,2015,16148988.44544654,16148.98844544654
Haryana,Yamunanagar,2016,9790561.972685238,9790.561972685238
Haryana,Yamunanagar,2017,12274944.7688059,12274.9447688059
Haryana,Yamunanagar,2018,7018552.680280375,7018.552680280375
Punjab,Amritsar,2012,52615985.653072596,52615.985653072596
Punjab,Amritsar,2013,63005747.93345821,63005.74793345821
Punjab,Amritsar,2014,63826991.59490223,63826.99159490223
Punjab,Amritsar,2015,149364609.5233709,149364.6095233709
Punjab,Amritsar,2016,101388643.43262239,101388.64343262238
Punjab,Amritsar,2017,101359765.75941847,101359.76575941847
Punjab,Amritsar,2018,61019549.89352504,61019.54989352504
Punjab,Barnala,2012,342501739.622674,342501.739622674
Punjab,Barnala,2013,579244157.2331891,579244.1572331891
Punjab,Barnala,2014,577683911.6579931,577683.9116579931
Punjab,Barnala,2015,611441283.2266314,611441.2832266313
Punjab,Barnala,2016,552714385.580562,552714.3855805619
Punjab,Barnala,2017,371049976.5842932,371049.9765842932
Punjab,Barnala,2018,394147358.8761108,394147.3588761108
Punjab,Bathinda,2012,444046333.9315215,444046.33393152145
Punjab,Bathinda,2013,903068362.5928077,903068.3625928076
Punjab,Bathinda,2014,747814782.6468679,747814.7826468679
Punjab,Bathinda,2015,1113032842.6711478,1113032.8426711478
Punjab,Bathinda,2016,930404772.3530835,930404.7723530835
Punjab,Bathinda,2017,856309053.3722867,856309.0533722867
Punjab,Bathinda,2018,777543819.0773356,777543.8190773356
Punjab,Faridkot,2012,369380949.58317226,369380.9495831723
Punjab,Faridkot,2013,554921182.9876249,554921.1829876249
Punjab,Faridkot,2014,468781847.69780606,468781.8476978061
Punjab,Faridkot,2015,665443068.8629574,665443.0688629574
Punjab,Faridkot,2016,462240989.8450219,462240.9898450219
Punjab,Faridkot,2017,463395801.55754733,463395.80155754735
Punjab,Faridkot,2018,491970494.4415495,491970.49444154947
Punjab,Fatehgarh Sahib,2012,183618090.47159413,183618.09047159413
Punjab,Fatehgarh Sahib,2013,204093080.49483222,204093.08049483222
Punjab,Fatehgarh Sahib,2014,219147258.76629135,219147.25876629134
Punjab,Fatehgarh Sahib,2015,294851259.8860343,294851.2598860343
Punjab,Fatehgarh Sahib,2016,228967905.9641924,228967.90596419238
Punjab,Fatehgarh Sahib,2017,194112238.67167622,194112.23867167623
Punjab,Fatehgarh Sahib,2018,76850128.40968463,76850.12840968462
Punjab,Fazilka,2012,354140463.03144395,354140.46303144394
Punjab,Fazilka,2013,619007677.515699,619007.6775156991
Punjab,Fazilka,2014,713062858.3369007,713062.8583369007
Punjab,Fazilka,2015,851337290.0986824,851337.2900986824
Punjab,Fazilka,2016,464188524.6287506,464188.52462875063
Punjab,Fazilka,2017,618516747.9994715,618516.7479994715
Punjab,Fazilka,2018,594837249.8871849,594837.2498871848
Punjab,Firozpur,2012,442428518.98791575,442428.51898791577
Punjab,Firozpur,2013,673720725.1064199,673720.7251064199
Punjab,Firozpur,2014,564666076.448314,564666.076448314
Punjab,Firozpur,2015,753658904.2502859,753658.9042502858
Punjab,Firozpur,2016,596437442.825144,596437.442825144
Punjab,Firozpur,2017,573142045.1236647,573142.0451236648
Punjab,Firozpur,2018,582871099.9826595,582871.0999826594
Punjab,Gurdaspur,2012,60435245.06962711,60435.24506962711
Punjab,Gurdaspur,2013,50154291.55110974,50154.29155110974
Punjab,Gurdaspur,2014,67400656.41700314,67400.65641700313
Punjab,Gurdaspur,2015,93806604.5049985,93806.60450499851
Punjab,Gurdaspur,2016,74990988.86713195,74990.98886713195
Punjab,Gurdaspur,2017,79226706.09464192,79226.70609464192
Punjab,Gurdaspur,2018,55869635.79359059,55869.63579359059
Punjab,Hoshiarpur,2012,60515929.80943595,60515.92980943595
Punjab,Hoshiarpur,2013,39033555.49476027,39033.555494760265
Punjab,Hoshiarpur,2014,67370399.24366236,67370.39924366235
Punjab,Hoshiarpur,2015,72905334.13435346,72905.33413435346
Punjab,Hoshiarpur,2016,84671434.80457248,84671.43480457248
Punjab,Hoshiarpur,2017,78038708.56985562,78038.70856985562
Punjab,Hoshiarpur,2018,24095287.08596828,24095.287085968277
Punjab,Jalandhar,2012,263822311.81941232,263822.31181941234
Punjab,Jalandhar,2013,337016056.6313856,337016.05663138564
Punjab,Jalandhar,2014,360727388.89963156,360727.38889963157
Punjab,Jalandhar,2015,431314284.3495194,431314.28434951935
Punjab,Jalandhar,2016,445125851.15184796,445125.851151848
Punjab,Jalandhar,2017,200348330.10168526,200348.33010168525
Punjab,Jalandhar,2018,135579044.86641142,135579.04486641142
Punjab,Kapurthala,2012,161146046.73319754,161146.04673319755
