state,district,crm_machines,crm_subsidy_lakh,happy_seeder,super_seeder,source_kind,area_km2,crm_state_total,crm_share,dose_z,machines_per_1000km2,is_punjab
Haryana,Fatehabad,403.0,292.5,120.0,,target_machines_2018_19,2418.0643930119018,5563.0,0.07244292647851878,0.8955687944574513,166.66222833628916,0
Haryana,Jind,403.0,292.5,120.0,,target_machines_2018_19,2764.462575811687,5563.0,0.07244292647851878,0.8955687944574513,145.77878663511052,0
Haryana,Kaithal,403.0,292.5,120.0,,target_machines_2018_19,2285.2528677736727,5563.0,0.07244292647851878,0.8955687944574513,176.34809945238516,0
Haryana,Karnal,403.0,292.5,120.0,,target_machines_2018_19,2488.5629795769687,5563.0,0.07244292647851878,0.8955687944574513,161.94084831580435,0
Haryana,Panipat,403.0,292.5,120.0,,target_machines_2018_19,1260.3226334571714,5563.0,0.07244292647851878,0.8955687944574513,319.759392794952,0
Haryana,Sirsa,403.0,292.5,120.0,,target_machines_2018_19,4257.795468115234,5563.0,0.07244292647851878,0.8955687944574513,94.64991989819391,0
Haryana,Sonipat,403.0,292.5,120.0,,target_machines_2018_19,2102.3751898533433,5563.0,0.07244292647851878,0.8955687944574513,191.68795462626835,0
Haryana,Ambala,383.0,279.0,100.0,,target_machines_2018_19,1458.5489742278187,5563.0,0.06884774402300917,0.7658657276739583,262.5897427974723,0
Haryana,Kurukshetra,383.0,279.0,100.0,,target_machines_2018_19,1665.5254092153784,5563.0,0.06884774402300917,0.7658657276739583,229.95746440183677,0
Haryana,Yamunanagar,383.0,279.0,100.0,,target_machines_2018_19,1721.8141723474266,5563.0,0.06884774402300917,0.7658657276739583,222.4397999221013,0
Haryana,Jhajjar,377.0,277.65,100.0,,target_machines_2018_19,1906.703984275354,5563.0,0.06776918928635628,0.7269548076389105,197.72340285074688,0
Haryana,Rohtak,375.0,277.25,100.0,,target_machines_2018_19,1749.145942292959,5563.0,0.06740967104080532,0.7139845009605612,214.39034384312822,0
Haryana,Palwal,201.0,137.0,50.0,,target_machines_2018_19,1344.8821495217062,5563.0,0.03613158367787165,-0.4144321800558277,149.45547464622356,0
Haryana,Bhiwani,170.0,120.5,50.0,,target_machines_2018_19,4633.971151990548,5563.0,0.030559050871831746,-0.6154719335702418,36.68559739025901,0
Haryana,Hisar,170.0,120.5,50.0,,target_machines_2018_19,4172.169138078145,5563.0,0.030559050871831746,-0.6154719335702418,40.74619085992,0
Haryana,Panchkula,55.0,34.75,5.0,,target_machines_2018_19,914.5359839188375,5563.0,0.009886751752651447,-1.3612645675753263,60.139787790877236,0
Haryana,Rewari,55.0,34.75,5.0,,target_machines_2018_19,1528.5901180037476,5563.0,0.009886751752651447,-1.3612645675753263,35.98086848279962,0
Haryana,Mahendragarh,50.0,31.375,0.0,,target_machines_2018_19,1939.9316313665881,5563.0,0.008987956138774043,-1.3936903342711997,25.774104196021288,0
Haryana,Mewat,50.0,31.375,0.0,,target_machines_2018_19,1539.9277297703782,5563.0,0.008987956138774043,-1.3936903342711997,32.469056198796814,0
Haryana,Faridabad,45.0,25.125,0.0,,target_machines_2018_19,741.0917576879239,5563.0,0.008089160524896638,-1.4261161009670729,60.72122585790469,0
Haryana,Gurgaon,45.0,25.125,0.0,,target_machines_2018_19,1239.9890353480287,5563.0,0.008089160524896638,-1.4261161009670729,36.29064347925449,0
Punjab,Muktsar,8002.0,,757.0,2214.0,actual_machines_cum_2018_22,2635.0956014896433,90422.0,0.08849616243834466,1.7918547222993813,3036.7019684129855,1
Punjab,Sangrur,7538.0,,1496.0,2579.0,actual_machines_cum_2018_22,3586.0159188024163,90422.0,0.0833646678905576,1.578226764470411,2102.054249250903,1
Punjab,Bathinda,6586.0,,1192.0,1785.0,actual_machines_cum_2018_22,3368.86875526741,90422.0,0.07283625666320144,1.1399211268557998,1954.9589130483132,1
Punjab,Firozpur,6314.0,,807.0,1503.0,actual_machines_cum_2018_22,2041.7898168487,90422.0,0.0698281391696711,1.0146909446801966,3092.3849006872965,1
Punjab,Mansa,5527.0,,1278.0,1407.0,actual_machines_cum_2018_22,2211.497129358969,90422.0,0.06112450509831678,0.6523521455176977,2499.2119259960664,1
Punjab,Ludhiana,5497.0,,1126.0,1150.0,actual_machines_cum_2018_22,3699.608896726215,90422.0,0.06079272743358917,0.6385399930718592,1485.8327335260485,1
Punjab,Jalandhar,5230.0,,405.0,1238.0,actual_machines_cum_2018_22,2602.7216296022325,90422.0,0.057839906217513434,0.5156118363038957,2009.4350239058365,1
Punjab,Fazilka,4968.0,,422.0,1790.0,actual_machines_cum_2018_22,3257.4999789526605,90422.0,0.054942381278892304,0.39498570494357205,1525.0959423174863,1
Punjab,Patiala,4966.0,,697.0,1695.0,actual_machines_cum_2018_22,3341.5911337660705,90422.0,0.05492026276791046,0.39406489478051615,1486.1183793012922,1
Punjab,Barnala,4807.0,,876.0,1580.0,actual_machines_cum_2018_22,1405.061574530355,90422.0,0.05316184114485413,0.3208604868175716,3421.202377985997,1
