state,district,pre_log_dm,pre_dm_tonnes,crm_machines,crm_share,dose_z,is_punjab
Haryana,Ambala,10.490468118508575,36487.22271309048,383.0,0.0688477440230091,0.7658657276739583,0
Haryana,Bhiwani,7.7074025897559935,4774.591250492562,170.0,0.0305590508718317,-0.6154719335702418,0
Haryana,Faridabad,6.040640596578794,582.2574572582453,45.0,0.0080891605248966,-1.4261161009670729,0
Haryana,Fatehabad,12.998615562336923,443374.86572885636,403.0,0.0724429264785187,0.8955687944574513,0
Haryana,Gurgaon,2.63782849035471,61.982784446902464,45.0,0.0080891605248966,-1.4261161009670729,0
Haryana,Hisar,9.862901053586944,21677.44656347943,170.0,0.0305590508718317,-0.6154719335702418,0
Haryana,Jhajjar,5.347939614132154,1147.5734002347526,377.0,0.0677691892863562,0.7269548076389105,0
Haryana,Jind,11.247420971545184,78130.7654631737,403.0,0.0724429264785187,0.8955687944574513,0
Haryana,Kaithal,12.303502709150992,221489.58185639055,403.0,0.0724429264785187,0.8955687944574513,0
Haryana,Karnal,11.57861899154324,109115.18494275578,403.0,0.0724429264785187,0.8955687944574513,0
Haryana,Kurukshetra,11.346887312592271,85068.52183995128,383.0,0.0688477440230091,0.7658657276739583,0
Haryana,Mahendragarh,4.300617807022314,201.10953137147945,50.0,0.008987956138774,-1.3936903342711997,0
Haryana,Mewat,9.615901386273363,15791.937905492372,50.0,0.008987956138774,-1.3936903342711997,0
Haryana,Palwal,11.388256623383834,93432.80824600991,201.0,0.0361315836778716,-0.4144321800558277,0
Haryana,Panchkula,7.548944750908478,1922.9065596587964,55.0,0.0098867517526514,-1.3612645675753263,0
Haryana,Panipat,8.775011172234311,8763.45977661571,403.0,0.0724429264785187,0.8955687944574513,0
Haryana,Rewari,4.882574081872346,3473.6937654036287,55.0,0.0098867517526514,-1.3612645675753263,0
Haryana,Rohtak,6.708654056384328,1994.0107865043385,375.0,0.0674096710408053,0.7139845009605612,0
Haryana,Sirsa,12.757070471638803,361930.7146177599,403.0,0.0724429264785187,0.8955687944574513,0
Haryana,Sonipat,7.7158418248872165,2592.7150716180163,403.0,0.0724429264785187,0.8955687944574513,0
Haryana,Yamunanagar,9.470204791082887,14845.162255311458,383.0,0.0688477440230091,0.7658657276739583,0
Punjab,Amritsar,11.325509737306598,88593.62398280746,2880.0,0.0318506558138506,-0.5663401052867937,1
Punjab,Barnala,13.1084281558116,505772.5756508904,4807.0,0.0531618411448541,0.3208604868175716,1
Punjab,Bathinda,13.59475282594021,832446.0245946193,6586.0,0.0728362566632014,1.1399211268557998,1
Punjab,Faridkot,13.100409543531216,497360.6400890217,4382.0,0.0484616575612129,0.1251883271681916,1
Punjab,Fatehgarh Sahib,12.292704499312576,220798.30570910344,2268.0,0.0250823914534073,-0.8481080151819009,1
Punjab,Fazilka,13.271391129126547,603375.5936018247,4968.0,0.0549423812788923,0.394985704943572,1
Punjab,Firozpur,13.292486481917166,600675.6187902907,6314.0,0.0698281391696711,1.0146909446801966,1
Punjab,Gurdaspur,11.150811263108944,71002.41541741873,3738.0,0.0413394970250602,-0.17131254533581,1
Punjab,Hoshiarpur,11.084884352674209,67089.22700944002,1572.0,0.0173851496317267,-1.1685499519253562,1
Punjab,Jalandhar,12.6992218743752,339725.70382558036,5230.0,0.0578399062175134,0.5156118363038957,1
Punjab,Kapurthala,12.248178927673415,213165.91400416996,3936.0,0.0435292296122625,-0.0801523391932754,1
Punjab,Ludhiana,13.615414069198314,856763.1223277195,5497.0,0.0607927274335891,0.6385399930718592,1
Punjab,Mansa,13.039150779502569,472318.90220765147,5527.0,0.0611245050983167,0.6523521455176977,1
Punjab,Moga,13.619187348725788,848652.1590052583,4533.0,0.0501316051403419,0.1947094944789125,1
Punjab,Muktsar,13.444548639383775,704166.2819476522,8002.0,0.0884961624383446,1.7918547222993813,1
Punjab,Pathankot,6.682991416137662,892.7003099313491,131.0,0.0014487624693105,-1.8319936744071363,1
Punjab,Patiala,13.40050333518679,666649.6947668229,4966.0,0.0549202627679104,0.3940648947805161,1
Punjab,Rupnagar,10.610427041974043,41632.402730985305,904.0,0.0099975669637919,-1.4761005463860288,1
Punjab,Sahibzada Ajit Singh Nagar,9.830264528131664,18899.218838261935,642.0,0.0071000420251708,-1.5967266777463525,1
Punjab,Sangrur,13.845547179651964,1044939.1015053497,7538.0,0.0833646678905576,1.578226764470411,1
Punjab,Shahid Bhagat Singh Nagar,11.345890129578303,88593.44534375746,1213.0,0.0134148769104863,-1.3338353761938913,1
Punjab,Tarn Taran,12.582227051871797,295615.613254086,4788.0,0.0529517152905266,0.3121127902685405,1
