state,district,year,wind_mean,wind_calm_days,precip_sum,rain_days,tmax_mean,et0_sum
Haryana,Ambala,2015,12.554098360655736,20,29.8,3,28.94918032786885,225.94
Haryana,Ambala,2016,14.014754098360656,17,5.2,2,29.913114754098363,255.73
Haryana,Ambala,2017,12.595081967213114,21,2.0,1,28.31311475409836,214.49
Haryana,Ambala,2018,14.134426229508197,13,30.0,4,27.21803278688525,208.35
Haryana,Ambala,2019,14.760655737704916,5,42.2,6,27.40983606557377,201.17
Haryana,Ambala,2020,13.681967213114756,13,16.099999999999998,3,28.49344262295082,242.35
Haryana,Ambala,2021,14.222950819672132,11,103.6,4,27.690163934426227,200.32
Haryana,Ambala,2022,14.881967213114756,3,69.8,6,27.40819672131148,191.21
Haryana,Ambala,2023,12.59344262295082,20,15.6,4,28.2,194.12
Haryana,Ambala,2024,12.1,24,0.0,0,28.791803278688523,198.51
Haryana,Bhiwani,2015,12.39344262295082,16,3.1,1,31.385245901639344,260.69
Haryana,Bhiwani,2016,12.59344262295082,13,11.2,2,32.24262295081967,277.99
Haryana,Bhiwani,2017,12.211475409836066,14,1.8,0,31.21803278688525,247.2
Haryana,Bhiwani,2018,11.911475409836068,13,1.9,1,29.865573770491803,225.59
Haryana,Bhiwani,2019,13.036065573770491,10,55.2,8,30.19508196721312,222.57
Haryana,Bhiwani,2020,12.822950819672132,9,24.9,3,30.89344262295082,262.43
Haryana,Bhiwani,2021,12.914754098360657,9,14.2,3,29.885245901639344,230.43
Haryana,Bhiwani,2022,13.540983606557376,7,25.7,3,29.89344262295082,227.2
Haryana,Bhiwani,2023,13.48360655737705,9,37.3,6,30.59016393442623,237.28
Haryana,Bhiwani,2024,12.165573770491804,17,0.1,0,31.84918032786885,238.76
Haryana,Faridabad,2015,11.142622950819671,29,24.0,3,30.42950819672131,238.48
Haryana,Faridabad,2016,12.436065573770492,19,17.8,2,30.868852459016395,258.39
Haryana,Faridabad,2017,11.7,18,0.6000000000000001,0,30.668852459016392,231.5
Haryana,Faridabad,2018,11.450819672131148,27,4.8,1,28.94918032786885,213.22
Haryana,Faridabad,2019,12.12950819672131,23,28.5,4,29.462295081967213,212.62
Haryana,Faridabad,2020,12.677049180327868,10,10.1,3,30.040983606557376,248.88
Haryana,Faridabad,2021,11.85409836065574,20,26.700000000000003,2,28.67049180327869,211.93
Haryana,Faridabad,2022,12.63934426229508,20,120.1,5,28.25901639344262,202.45
Haryana,Faridabad,2023,12.537704918032786,20,22.9,5,29.77704918032787,223.75
Haryana,Faridabad,2024,10.747540983606555,32,0.3,0,30.437704918032782,222.02
Haryana,Fatehabad,2015,12.072131147540984,18,9.2,3,31.318032786885247,252.08
Haryana,Fatehabad,2016,11.560655737704918,19,11.3,4,32.19508196721311,268.54
Haryana,Fatehabad,2017,11.160655737704918,24,4.1000000000000005,1,30.52786885245902,227.87
Haryana,Fatehabad,2018,12.62295081967213,16,8.1,2,29.781967213114758,222.4
Haryana,Fatehabad,2019,12.64590163934426,15,41.4,8,29.331147540983608,207.95
Haryana,Fatehabad,2020,12.134426229508197,19,17.599999999999998,4,30.32622950819672,251.2
Haryana,Fatehabad,2021,12.598360655737704,12,18.6,4,29.267213114754096,216.19
Haryana,Fatehabad,2022,12.714754098360656,14,3.9,1,29.395081967213116,215.01
Haryana,Fatehabad,2023,11.424590163934424,26,16.8,5,28.98032786885246,203.72
Haryana,Fatehabad,2024,10.272131147540984,33,0.5,0,31.242622950819676,220.83
Haryana,Gurgaon,2015,11.447540983606556,22,17.6,3,30.75901639344262,248.62
Haryana,Gurgaon,2016,12.536065573770491,20,16.1,3,31.08852459016393,266.63
Haryana,Gurgaon,2017,11.959016393442624,14,2.0,1,30.732786885245904,243.02
Haryana,Gurgaon,2018,12.262295081967212,15,4.0,1,29.450819672131143,224.92
Haryana,Gurgaon,2019,12.49672131147541,15,37.0,5,29.459016393442624,215.28
Haryana,Gurgaon,2020,12.040983606557376,15,11.4,3,29.32622950819672,240.2
